Units,scenario,region,sector,subsector,technology,input,year,value
EJ,Ref_cities,Rest of Malaysia,comm cooling,electricity,electricity,elect_td_bld,2020,0.048784
EJ,Ref_cities,Rest of Malaysia,comm cooling,electricity,electricity,elect_td_bld,2025,0.0542999
EJ,Ref_cities,Rest of Malaysia,comm cooling,electricity,electricity,elect_td_bld,2030,0.0609476
EJ,Ref_cities,Rest of Malaysia,comm cooling,electricity,electricity,elect_td_bld,2035,0.0673597
EJ,Ref_cities,Rest of Malaysia,comm cooling,electricity,electricity,elect_td_bld,2040,0.0726564
EJ,Ref_cities,Rest of Malaysia,comm cooling,electricity,electricity,elect_td_bld,2045,0.0759139
EJ,Ref_cities,Rest of Malaysia,comm cooling,electricity,electricity,elect_td_bld,2050,0.0770254
EJ,Ref_cities,Rest of Malaysia,comm cooling,electricity,electricity,elect_td_bld,2055,0.0768376
EJ,Ref_cities,Rest of Malaysia,comm cooling,electricity,electricity,elect_td_bld,2060,0.0755646
EJ,Ref_cities,Rest of Malaysia,comm cooling,electricity,electricity,elect_td_bld,2065,0.0735248
EJ,Ref_cities,Rest of Malaysia,comm cooling,electricity,electricity,elect_td_bld,2070,0.0711978
EJ,Ref_cities,Rest of Malaysia,comm cooling,electricity,electricity,elect_td_bld,2075,0.068558
EJ,Ref_cities,Rest of Malaysia,comm cooling,electricity,electricity,elect_td_bld,2080,0.0656176
EJ,Ref_cities,Rest of Malaysia,comm cooling,electricity,electricity,elect_td_bld,2085,0.0629948
EJ,Ref_cities,Rest of Malaysia,comm cooling,electricity,electricity,elect_td_bld,2090,0.0604449
EJ,Ref_cities,Rest of Malaysia,comm cooling,electricity,electricity,elect_td_bld,2095,0.0579686
EJ,Ref_cities,Rest of Malaysia,comm cooling,electricity,electricity,elect_td_bld,2100,0.056124
EJ,Ref_cities,Rest of Malaysia,comm others,electricity,electricity,elect_td_bld,1990,0.0128799
EJ,Ref_cities,Rest of Malaysia,comm others,electricity,electricity,elect_td_bld,2005,0.0464152
EJ,Ref_cities,Rest of Malaysia,comm others,electricity,electricity,elect_td_bld,2010,0.0717441
EJ,Ref_cities,Rest of Malaysia,comm others,electricity,electricity,elect_td_bld,2015,0.0882486
EJ,Ref_cities,Rest of Malaysia,comm others,electricity,electricity,elect_td_bld,2020,0.115873
EJ,Ref_cities,Rest of Malaysia,comm others,electricity,electricity,elect_td_bld,2025,0.141025
EJ,Ref_cities,Rest of Malaysia,comm others,electricity,electricity,elect_td_bld,2030,0.175886
EJ,Ref_cities,Rest of Malaysia,comm others,electricity,electricity,elect_td_bld,2035,0.215524
EJ,Ref_cities,Rest of Malaysia,comm others,electricity,electricity,elect_td_bld,2040,0.254208
EJ,Ref_cities,Rest of Malaysia,comm others,electricity,electricity,elect_td_bld,2045,0.287582
EJ,Ref_cities,Rest of Malaysia,comm others,electricity,electricity,elect_td_bld,2050,0.311684
EJ,Ref_cities,Rest of Malaysia,comm others,electricity,electricity,elect_td_bld,2055,0.330649
EJ,Ref_cities,Rest of Malaysia,comm others,electricity,electricity,elect_td_bld,2060,0.346096
EJ,Ref_cities,Rest of Malaysia,comm others,electricity,electricity,elect_td_bld,2065,0.356659
EJ,Ref_cities,Rest of Malaysia,comm others,electricity,electricity,elect_td_bld,2070,0.3659
EJ,Ref_cities,Rest of Malaysia,comm others,electricity,electricity,elect_td_bld,2075,0.371352
EJ,Ref_cities,Rest of Malaysia,comm others,electricity,electricity,elect_td_bld,2080,0.372478
EJ,Ref_cities,Rest of Malaysia,comm others,electricity,electricity,elect_td_bld,2085,0.374718
EJ,Ref_cities,Rest of Malaysia,comm others,electricity,electricity,elect_td_bld,2090,0.37689
EJ,Ref_cities,Rest of Malaysia,comm others,electricity,electricity,elect_td_bld,2095,0.378976
EJ,Ref_cities,Rest of Malaysia,comm others,electricity,electricity,elect_td_bld,2100,0.382344
EJ,Ref_cities,Rest of Malaysia,comm others,gas,gas,delivered gas,1990,0.0001772
EJ,Ref_cities,Rest of Malaysia,comm others,gas,gas,delivered gas,2005,0.0008089
EJ,Ref_cities,Rest of Malaysia,comm others,gas,gas,delivered gas,2010,0.0010554
EJ,Ref_cities,Rest of Malaysia,comm others,gas,gas,delivered gas,2015,0.0008438
EJ,Ref_cities,Rest of Malaysia,comm others,gas,gas,delivered gas,2020,0.000917812
EJ,Ref_cities,Rest of Malaysia,comm others,gas,gas,delivered gas,2025,0.00102827
EJ,Ref_cities,Rest of Malaysia,comm others,gas,gas,delivered gas,2030,0.00114068
EJ,Ref_cities,Rest of Malaysia,comm others,gas,gas,delivered gas,2035,0.00122058
EJ,Ref_cities,Rest of Malaysia,comm others,gas,gas,delivered gas,2040,0.00127554
EJ,Ref_cities,Rest of Malaysia,comm others,gas,gas,delivered gas,2045,0.00132409
EJ,Ref_cities,Rest of Malaysia,comm others,gas,gas,delivered gas,2050,0.00138327
EJ,Ref_cities,Rest of Malaysia,comm others,gas,gas,delivered gas,2055,0.00143441
EJ,Ref_cities,Rest of Malaysia,comm others,gas,gas,delivered gas,2060,0.00143743
EJ,Ref_cities,Rest of Malaysia,comm others,gas,gas,delivered gas,2065,0.00143594
EJ,Ref_cities,Rest of Malaysia,comm others,gas,gas,delivered gas,2070,0.00136785
EJ,Ref_cities,Rest of Malaysia,comm others,gas,gas,delivered gas,2075,0.00133978
EJ,Ref_cities,Rest of Malaysia,comm others,gas,gas,delivered gas,2080,0.0014247
EJ,Ref_cities,Rest of Malaysia,comm others,gas,gas,delivered gas,2085,0.00145573
EJ,Ref_cities,Rest of Malaysia,comm others,gas,gas,delivered gas,2090,0.00142341
EJ,Ref_cities,Rest of Malaysia,comm others,gas,gas,delivered gas,2095,0.00134261
EJ,Ref_cities,Rest of Malaysia,comm others,gas,gas,delivered gas,2100,0.00123916
EJ,Ref_cities,Rest of Malaysia,comm others,refined liquids,refined liquids,refined liquids enduse,1990,0.00885999
EJ,Ref_cities,Rest of Malaysia,comm others,refined liquids,refined liquids,refined liquids enduse,2005,0.0265876
EJ,Ref_cities,Rest of Malaysia,comm others,refined liquids,refined liquids,refined liquids enduse,2010,0.0438329
EJ,Ref_cities,Rest of Malaysia,comm others,refined liquids,refined liquids,refined liquids enduse,2015,0.0274959
EJ,Ref_cities,Rest of Malaysia,comm others,refined liquids,refined liquids,refined liquids enduse,2020,0.0239664
EJ,Ref_cities,Rest of Malaysia,comm others,refined liquids,refined liquids,refined liquids enduse,2025,0.0260517
EJ,Ref_cities,Rest of Malaysia,comm others,refined liquids,refined liquids,refined liquids enduse,2030,0.0267699
EJ,Ref_cities,Rest of Malaysia,comm others,refined liquids,refined liquids,refined liquids enduse,2035,0.0269751
EJ,Ref_cities,Rest of Malaysia,comm others,refined liquids,refined liquids,refined liquids enduse,2040,0.0269644
EJ,Ref_cities,Rest of Malaysia,comm others,refined liquids,refined liquids,refined liquids enduse,2045,0.0265359
EJ,Ref_cities,Rest of Malaysia,comm others,refined liquids,refined liquids,refined liquids enduse,2050,0.0270119
EJ,Ref_cities,Rest of Malaysia,comm others,refined liquids,refined liquids,refined liquids enduse,2055,0.0268764
EJ,Ref_cities,Rest of Malaysia,comm others,refined liquids,refined liquids,refined liquids enduse,2060,0.0254489
EJ,Ref_cities,Rest of Malaysia,comm others,refined liquids,refined liquids,refined liquids enduse,2065,0.0243214
EJ,Ref_cities,Rest of Malaysia,comm others,refined liquids,refined liquids,refined liquids enduse,2070,0.0220734
EJ,Ref_cities,Rest of Malaysia,comm others,refined liquids,refined liquids,refined liquids enduse,2075,0.0205256
EJ,Ref_cities,Rest of Malaysia,comm others,refined liquids,refined liquids,refined liquids enduse,2080,0.0208764
EJ,Ref_cities,Rest of Malaysia,comm others,refined liquids,refined liquids,refined liquids enduse,2085,0.02067
EJ,Ref_cities,Rest of Malaysia,comm others,refined liquids,refined liquids,refined liquids enduse,2090,0.0199647
EJ,Ref_cities,Rest of Malaysia,comm others,refined liquids,refined liquids,refined liquids enduse,2095,0.0186526
EJ,Ref_cities,Rest of Malaysia,comm others,refined liquids,refined liquids,refined liquids enduse,2100,0.017123
EJ,Ref_cities,Rest of Malaysia,resid cooling,electricity,electricity,elect_td_bld,1990,0.0088732
EJ,Ref_cities,Rest of Malaysia,resid cooling,electricity,electricity,elect_td_bld,2005,0.0317825
EJ,Ref_cities,Rest of Malaysia,resid cooling,electricity,electricity,elect_td_bld,2010,0.0490594
EJ,Ref_cities,Rest of Malaysia,resid cooling,electricity,electricity,elect_td_bld,2015,0.0634684
EJ,Ref_cities,Rest of Malaysia,resid cooling,electricity,electricity,elect_td_bld,2020,0.0719859
EJ,Ref_cities,Rest of Malaysia,resid cooling,electricity,electricity,elect_td_bld,2025,0.0800083
EJ,Ref_cities,Rest of Malaysia,resid cooling,electricity,electricity,elect_td_bld,2030,0.0893338
EJ,Ref_cities,Rest of Malaysia,resid cooling,electricity,electricity,elect_td_bld,2035,0.0981712
EJ,Ref_cities,Rest of Malaysia,resid cooling,electricity,electricity,elect_td_bld,2040,0.10559
EJ,Ref_cities,Rest of Malaysia,resid cooling,electricity,electricity,elect_td_bld,2045,0.110123
EJ,Ref_cities,Rest of Malaysia,resid cooling,electricity,electricity,elect_td_bld,2050,0.111794
EJ,Ref_cities,Rest of Malaysia,resid cooling,electricity,electricity,elect_td_bld,2055,0.111413
EJ,Ref_cities,Rest of Malaysia,resid cooling,electricity,electricity,elect_td_bld,2060,0.109465
EJ,Ref_cities,Rest of Malaysia,resid cooling,electricity,electricity,elect_td_bld,2065,0.106317
EJ,Ref_cities,Rest of Malaysia,resid cooling,electricity,electricity,elect_td_bld,2070,0.102828
EJ,Ref_cities,Rest of Malaysia,resid cooling,electricity,electricity,elect_td_bld,2075,0.0989473
EJ,Ref_cities,Rest of Malaysia,resid cooling,electricity,electricity,elect_td_bld,2080,0.0947328
EJ,Ref_cities,Rest of Malaysia,resid cooling,electricity,electricity,elect_td_bld,2085,0.0909639
EJ,Ref_cities,Rest of Malaysia,resid cooling,electricity,electricity,elect_td_bld,2090,0.087278
EJ,Ref_cities,Rest of Malaysia,resid cooling,electricity,electricity,elect_td_bld,2095,0.0835605
EJ,Ref_cities,Rest of Malaysia,resid cooling,electricity,electricity,elect_td_bld,2100,0.0809884
EJ,Ref_cities,Rest of Malaysia,resid others,biomass,biomass,delivered biomass,1990,0.00995864
EJ,Ref_cities,Rest of Malaysia,resid others,biomass,biomass,delivered biomass,2005,0.00752609
EJ,Ref_cities,Rest of Malaysia,resid others,biomass,biomass,delivered biomass,2010,0.00510088
EJ,Ref_cities,Rest of Malaysia,resid others,biomass,biomass,delivered biomass,2015,3.51999e-05
EJ,Ref_cities,Rest of Malaysia,resid others,biomass,biomass,delivered biomass,2020,4.16361e-05
EJ,Ref_cities,Rest of Malaysia,resid others,biomass,biomass,delivered biomass,2025,4.63574e-05
EJ,Ref_cities,Rest of Malaysia,resid others,biomass,biomass,delivered biomass,2030,4.98793e-05
EJ,Ref_cities,Rest of Malaysia,resid others,biomass,biomass,delivered biomass,2035,5.14811e-05
EJ,Ref_cities,Rest of Malaysia,resid others,biomass,biomass,delivered biomass,2040,4.96228e-05
EJ,Ref_cities,Rest of Malaysia,resid others,biomass,biomass,delivered biomass,2045,4.75556e-05
EJ,Ref_cities,Rest of Malaysia,resid others,biomass,biomass,delivered biomass,2050,4.70634e-05
EJ,Ref_cities,Rest of Malaysia,resid others,biomass,biomass,delivered biomass,2055,4.61696e-05
EJ,Ref_cities,Rest of Malaysia,resid others,biomass,biomass,delivered biomass,2060,4.40549e-05
EJ,Ref_cities,Rest of Malaysia,resid others,biomass,biomass,delivered biomass,2065,4.23277e-05
EJ,Ref_cities,Rest of Malaysia,resid others,biomass,biomass,delivered biomass,2070,3.93015e-05
EJ,Ref_cities,Rest of Malaysia,resid others,biomass,biomass,delivered biomass,2075,3.71107e-05
EJ,Ref_cities,Rest of Malaysia,resid others,biomass,biomass,delivered biomass,2080,3.76012e-05
EJ,Ref_cities,Rest of Malaysia,resid others,biomass,biomass,delivered biomass,2085,3.7322e-05
EJ,Ref_cities,Rest of Malaysia,resid others,biomass,biomass,delivered biomass,2090,3.6265e-05
EJ,Ref_cities,Rest of Malaysia,resid others,biomass,biomass,delivered biomass,2095,3.43578e-05
EJ,Ref_cities,Rest of Malaysia,resid others,biomass,biomass,delivered biomass,2100,3.19775e-05
EJ,Ref_cities,Rest of Malaysia,resid others,electricity,electricity,elect_td_bld,1990,0.00347031
EJ,Ref_cities,Rest of Malaysia,resid others,electricity,electricity,elect_td_bld,2005,0.0124302
EJ,Ref_cities,Rest of Malaysia,resid others,electricity,electricity,elect_td_bld,2010,0.0191872
EJ,Ref_cities,Rest of Malaysia,resid others,electricity,electricity,elect_td_bld,2015,0.0248225
EJ,Ref_cities,Rest of Malaysia,resid others,electricity,electricity,elect_td_bld,2020,0.0365901
EJ,Ref_cities,Rest of Malaysia,resid others,electricity,electricity,elect_td_bld,2025,0.0474798
EJ,Ref_cities,Rest of Malaysia,resid others,electricity,electricity,elect_td_bld,2030,0.0643392
EJ,Ref_cities,Rest of Malaysia,resid others,electricity,electricity,elect_td_bld,2035,0.0856005
EJ,Ref_cities,Rest of Malaysia,resid others,electricity,electricity,elect_td_bld,2040,0.108352
EJ,Ref_cities,Rest of Malaysia,resid others,electricity,electricity,elect_td_bld,2045,0.12985
EJ,Ref_cities,Rest of Malaysia,resid others,electricity,electricity,elect_td_bld,2050,0.146158
EJ,Ref_cities,Rest of Malaysia,resid others,electricity,electricity,elect_td_bld,2055,0.159987
EJ,Ref_cities,Rest of Malaysia,resid others,electricity,electricity,elect_td_bld,2060,0.172887
EJ,Ref_cities,Rest of Malaysia,resid others,electricity,electricity,elect_td_bld,2065,0.182869
EJ,Ref_cities,Rest of Malaysia,resid others,electricity,electricity,elect_td_bld,2070,0.193194
EJ,Ref_cities,Rest of Malaysia,resid others,electricity,electricity,elect_td_bld,2075,0.20081
EJ,Ref_cities,Rest of Malaysia,resid others,electricity,electricity,elect_td_bld,2080,0.203874
EJ,Ref_cities,Rest of Malaysia,resid others,electricity,electricity,elect_td_bld,2085,0.208285
EJ,Ref_cities,Rest of Malaysia,resid others,electricity,electricity,elect_td_bld,2090,0.213128
EJ,Ref_cities,Rest of Malaysia,resid others,electricity,electricity,elect_td_bld,2095,0.218493
EJ,Ref_cities,Rest of Malaysia,resid others,electricity,electricity,elect_td_bld,2100,0.224634
EJ,Ref_cities,Rest of Malaysia,resid others,gas,gas,delivered gas,1990,0.0001063
EJ,Ref_cities,Rest of Malaysia,resid others,gas,gas,delivered gas,2005,0.0001758
EJ,Ref_cities,Rest of Malaysia,resid others,gas,gas,delivered gas,2010,0.000211099
EJ,Ref_cities,Rest of Malaysia,resid others,gas,gas,delivered gas,2015,3.51999e-05
EJ,Ref_cities,Rest of Malaysia,resid others,gas,gas,delivered gas,2020,4.29724e-05
EJ,Ref_cities,Rest of Malaysia,resid others,gas,gas,delivered gas,2025,5.13248e-05
EJ,Ref_cities,Rest of Malaysia,resid others,gas,gas,delivered gas,2030,6.18598e-05
EJ,Ref_cities,Rest of Malaysia,resid others,gas,gas,delivered gas,2035,7.18549e-05
EJ,Ref_cities,Rest of Malaysia,resid others,gas,gas,delivered gas,2040,8.05577e-05
EJ,Ref_cities,Rest of Malaysia,resid others,gas,gas,delivered gas,2045,8.85671e-05
EJ,Ref_cities,Rest of Malaysia,resid others,gas,gas,delivered gas,2050,9.60807e-05
EJ,Ref_cities,Rest of Malaysia,resid others,gas,gas,delivered gas,2055,0.0001028
EJ,Ref_cities,Rest of Malaysia,resid others,gas,gas,delivered gas,2060,0.000106352
EJ,Ref_cities,Rest of Malaysia,resid others,gas,gas,delivered gas,2065,0.000109047
EJ,Ref_cities,Rest of Malaysia,resid others,gas,gas,delivered gas,2070,0.000106947
EJ,Ref_cities,Rest of Malaysia,resid others,gas,gas,delivered gas,2075,0.000107283
EJ,Ref_cities,Rest of Malaysia,resid others,gas,gas,delivered gas,2080,0.000115523
EJ,Ref_cities,Rest of Malaysia,resid others,gas,gas,delivered gas,2085,0.000119886
EJ,Ref_cities,Rest of Malaysia,resid others,gas,gas,delivered gas,2090,0.000119234
EJ,Ref_cities,Rest of Malaysia,resid others,gas,gas,delivered gas,2095,0.000114615
EJ,Ref_cities,Rest of Malaysia,resid others,gas,gas,delivered gas,2100,0.000107732
EJ,Ref_cities,Rest of Malaysia,resid others,refined liquids,refined liquids,refined liquids enduse,1990,0.0169758
EJ,Ref_cities,Rest of Malaysia,resid others,refined liquids,refined liquids,refined liquids enduse,2005,0.0275723
EJ,Ref_cities,Rest of Malaysia,resid others,refined liquids,refined liquids,refined liquids enduse,2010,0.0250472
EJ,Ref_cities,Rest of Malaysia,resid others,refined liquids,refined liquids,refined liquids enduse,2015,0.0236984
EJ,Ref_cities,Rest of Malaysia,resid others,refined liquids,refined liquids,refined liquids enduse,2020,0.0231718
EJ,Ref_cities,Rest of Malaysia,resid others,refined liquids,refined liquids,refined liquids enduse,2025,0.0268442
EJ,Ref_cities,Rest of Malaysia,resid others,refined liquids,refined liquids,refined liquids enduse,2030,0.02995
EJ,Ref_cities,Rest of Malaysia,resid others,refined liquids,refined liquids,refined liquids enduse,2035,0.0327442
EJ,Ref_cities,Rest of Malaysia,resid others,refined liquids,refined liquids,refined liquids enduse,2040,0.0351044
EJ,Ref_cities,Rest of Malaysia,resid others,refined liquids,refined liquids,refined liquids enduse,2045,0.036578
EJ,Ref_cities,Rest of Malaysia,resid others,refined liquids,refined liquids,refined liquids enduse,2050,0.0386617
EJ,Ref_cities,Rest of Malaysia,resid others,refined liquids,refined liquids,refined liquids enduse,2055,0.0396842
EJ,Ref_cities,Rest of Malaysia,resid others,refined liquids,refined liquids,refined liquids enduse,2060,0.0387797
EJ,Ref_cities,Rest of Malaysia,resid others,refined liquids,refined liquids,refined liquids enduse,2065,0.0380286
EJ,Ref_cities,Rest of Malaysia,resid others,refined liquids,refined liquids,refined liquids enduse,2070,0.0355238
EJ,Ref_cities,Rest of Malaysia,resid others,refined liquids,refined liquids,refined liquids enduse,2075,0.0338179
EJ,Ref_cities,Rest of Malaysia,resid others,refined liquids,refined liquids,refined liquids enduse,2080,0.0348184
EJ,Ref_cities,Rest of Malaysia,resid others,refined liquids,refined liquids,refined liquids enduse,2085,0.035009
EJ,Ref_cities,Rest of Malaysia,resid others,refined liquids,refined liquids,refined liquids enduse,2090,0.0343975
EJ,Ref_cities,Rest of Malaysia,resid others,refined liquids,refined liquids,refined liquids enduse,2095,0.0327559
EJ,Ref_cities,Rest of Malaysia,resid others,refined liquids,refined liquids,refined liquids enduse,2100,0.0306331
EJ,Ref_cities,Rest of Malaysia,resid others,traditional biomass,traditional biomass,traditional biomass,1990,0.00779683
EJ,Ref_cities,Rest of Malaysia,resid others,traditional biomass,traditional biomass,traditional biomass,2005,0.0012309
EJ,Ref_cities,Rest of Malaysia,resid others,traditional biomass,traditional biomass,traditional biomass,2010,0.000809097
