year,region,scenario,value
1950,Thailand,pop_nso,19748711.115856834
1951,Thailand,pop_nso,20519921.647723045
1952,Thailand,pop_nso,21291132.179589253
1953,Thailand,pop_nso,22062342.711455464
1954,Thailand,pop_nso,22833553.243321676
1955,Thailand,pop_nso,23604763.775187887
1956,Thailand,pop_nso,24375974.307054095
1957,Thailand,pop_nso,25147184.838920306
1958,Thailand,pop_nso,25918395.370786518
1959,Thailand,pop_nso,26689605.902652726
1960,Thailand,pop_nso,27460816.434518937
1961,Thailand,pop_nso,28232026.96638515
1962,Thailand,pop_nso,29003237.498251356
1963,Thailand,pop_nso,29774448.030117568
1964,Thailand,pop_nso,30545658.56198378
1965,Thailand,pop_nso,31316869.093849987
1966,Thailand,pop_nso,32088079.625716202
1967,Thailand,pop_nso,32859290.15758241
1968,Thailand,pop_nso,33630500.68944862
1969,Thailand,pop_nso,34401711.22131483
1970,Thailand,pop_nso,35172921.75318104
1971,Thailand,pop_nso,36110914.012433216
1972,Thailand,pop_nso,37048906.27168539
1973,Thailand,pop_nso,37986898.53093757
1974,Thailand,pop_nso,38924890.79018974
1975,Thailand,pop_nso,39862883.04944192
1976,Thailand,pop_nso,40800875.3086941
1977,Thailand,pop_nso,41738867.56794628
1978,Thailand,pop_nso,42676859.82719845
1979,Thailand,pop_nso,43614852.08645063
1980,Thailand,pop_nso,44552844.345702805
1981,Thailand,pop_nso,45490836.60495498
1982,Thailand,pop_nso,46428828.864207156
1983,Thailand,pop_nso,47366821.12345933
1984,Thailand,pop_nso,48304813.38271151
1985,Thailand,pop_nso,49242805.64196369
1986,Thailand,pop_nso,50180797.901215866
1987,Thailand,pop_nso,51118790.16046804
1988,Thailand,pop_nso,52056782.41972022
1989,Thailand,pop_nso,52994774.67897239
1990,Thailand,pop_nso,53932766.93822457
1991,Thailand,pop_nso,54542583.48861522
1992,Thailand,pop_nso,55152400.039005876
1993,Thailand,pop_nso,55762216.58939653
1994,Thailand,pop_nso,56372033.13978718
1995,Thailand,pop_nso,56981849.69017784
1996,Thailand,pop_nso,57591666.2405685
1997,Thailand,pop_nso,58201482.79095915
1998,Thailand,pop_nso,58811299.3413498
1999,Thailand,pop_nso,59421115.891740456
2000,Thailand,pop_nso,60030932.44213111
2001,Thailand,pop_nso,60500667.5988511
2002,Thailand,pop_nso,60970402.7555711
2003,Thailand,pop_nso,61440137.91229109
2004,Thailand,pop_nso,61909873.069011085
2005,Thailand,pop_nso,62379608.225731075
2006,Thailand,pop_nso,62718893.18058486
2007,Thailand,pop_nso,63058178.13543864
2008,Thailand,pop_nso,63397463.09029243
2009,Thailand,pop_nso,63736748.04514621
2010,Thailand,pop_nso,64076033
2011,Thailand,pop_nso,64076033
2012,Thailand,pop_nso,64456695
2013,Thailand,pop_nso,64785909
2014,Thailand,pop_nso,65124716
2015,Thailand,pop_nso,65729098
2016,Thailand,pop_nso,65931550
2017,Thailand,pop_nso,66188503
2018,Thailand,pop_nso,66413979
2019,Thailand,pop_nso,66558935
2020,Thailand,pop_nso,66186727
2021,Thailand,pop_nso,66238500.571550146
2022,Thailand,pop_nso,66290274.143100284
2023,Thailand,pop_nso,66342047.71465043
2024,Thailand,pop_nso,66393821.286200576
2025,Thailand,pop_nso,66445594.857750714
2026,Thailand,pop_nso,66497368.42930086
2027,Thailand,pop_nso,66549142.000851005
2028,Thailand,pop_nso,66600915.57240115
2029,Thailand,pop_nso,66652689.14395129
2030,Thailand,pop_nso,66704462.715501435
2031,Thailand,pop_nso,66495566.784869626
2032,Thailand,pop_nso,66286670.854237825
2033,Thailand,pop_nso,66077774.92360602
2034,Thailand,pop_nso,65868878.992974214
2035,Thailand,pop_nso,65659983.062342405
2036,Thailand,pop_nso,65451087.131710604
2037,Thailand,pop_nso,65242191.2010788
2038,Thailand,pop_nso,65033295.27044699
2039,Thailand,pop_nso,64824399.339815184
2040,Thailand,pop_nso,64615503.40918338
2041,Thailand,pop_nso,64406607.47855158
2042,Thailand,pop_nso,64197711.54791977
2043,Thailand,pop_nso,63988815.61728796
2044,Thailand,pop_nso,63779919.68665616
2045,Thailand,pop_nso,63571023.75602436
2046,Thailand,pop_nso,63362127.82539255
2047,Thailand,pop_nso,63153231.89476074
2048,Thailand,pop_nso,62944335.96412894
2049,Thailand,pop_nso,62735440.03349714
2050,Thailand,pop_nso,62526544.10286533
2051,Thailand,pop_nso,62118803.521060176
2052,Thailand,pop_nso,61711062.939255014
2053,Thailand,pop_nso,61303322.35744986
2054,Thailand,pop_nso,60895581.7756447
2055,Thailand,pop_nso,60487841.19383954
2056,Thailand,pop_nso,60080100.61203439
2057,Thailand,pop_nso,59672360.030229226
2058,Thailand,pop_nso,59264619.44842407
2059,Thailand,pop_nso,58856878.86661891
2060,Thailand,pop_nso,58449138.284813754
2061,Thailand,pop_nso,58041397.7030086
2062,Thailand,pop_nso,57633657.12120344
2063,Thailand,pop_nso,57225916.53939828
2064,Thailand,pop_nso,56818175.95759312
2065,Thailand,pop_nso,56410435.375787966
2066,Thailand,pop_nso,56002694.79398281
2067,Thailand,pop_nso,55594954.21217765
2068,Thailand,pop_nso,55187213.630372494
2069,Thailand,pop_nso,54779473.04856733
2070,Thailand,pop_nso,54371732.46676218
2071,Thailand,pop_nso,53963991.88495702
2072,Thailand,pop_nso,53556251.30315186
2073,Thailand,pop_nso,53148510.721346706
2074,Thailand,pop_nso,52740770.13954155
2075,Thailand,pop_nso,52333029.55773639
2076,Thailand,pop_nso,51985065.64169169
2077,Thailand,pop_nso,51637101.72564699
2078,Thailand,pop_nso,51289137.80960229
2079,Thailand,pop_nso,50941173.89355759
2080,Thailand,pop_nso,50593209.977512896
2081,Thailand,pop_nso,50245246.06146819
2082,Thailand,pop_nso,49897282.145423494
2083,Thailand,pop_nso,49549318.2293788
2084,Thailand,pop_nso,49201354.31333409
2085,Thailand,pop_nso,48853390.397289395
2086,Thailand,pop_nso,48505426.4812447
2087,Thailand,pop_nso,48157462.5652
2088,Thailand,pop_nso,47809498.6491553
2089,Thailand,pop_nso,47461534.7331106
2090,Thailand,pop_nso,47113570.8170659
2091,Thailand,pop_nso,46765606.9010212
2092,Thailand,pop_nso,46417642.9849765
2093,Thailand,pop_nso,46069679.0689318
2094,Thailand,pop_nso,45721715.152887106
2095,Thailand,pop_nso,45373751.2368424
2096,Thailand,pop_nso,45025787.320797704
2097,Thailand,pop_nso,44677823.40475301
2098,Thailand,pop_nso,44329859.4887083
2099,Thailand,pop_nso,43981895.572663605
2100,Thailand,pop_nso,43633931.65661891
1950,Thailand,pop_un,20710000
1951,Thailand,pop_un,21518750
1952,Thailand,pop_un,22327500
1953,Thailand,pop_un,23136250
1954,Thailand,pop_un,23945000
1955,Thailand,pop_un,24753750
1956,Thailand,pop_un,25562500
1957,Thailand,pop_un,26371250
1958,Thailand,pop_un,27180000
1959,Thailand,pop_un,27988750
1960,Thailand,pop_un,28797500
1961,Thailand,pop_un,29606250
1962,Thailand,pop_un,30415000
1963,Thailand,pop_un,31223750
1964,Thailand,pop_un,32032500
1965,Thailand,pop_un,32841250
1966,Thailand,pop_un,33650000
1967,Thailand,pop_un,34458750
1968,Thailand,pop_un,35267500
1969,Thailand,pop_un,36076250
1970,Thailand,pop_un,36885000
1971,Thailand,pop_un,37868650
1972,Thailand,pop_un,38852300
1973,Thailand,pop_un,39835950
1974,Thailand,pop_un,40819600
1975,Thailand,pop_un,41803250
1976,Thailand,pop_un,42786900
1977,Thailand,pop_un,43770550
1978,Thailand,pop_un,44754200
1979,Thailand,pop_un,45737850
1980,Thailand,pop_un,46721500
1981,Thailand,pop_un,47705150
1982,Thailand,pop_un,48688800
1983,Thailand,pop_un,49672450
1984,Thailand,pop_un,50656100
1985,Thailand,pop_un,51639750
1986,Thailand,pop_un,52623400
1987,Thailand,pop_un,53607050
1988,Thailand,pop_un,54590700
1989,Thailand,pop_un,55574350
1990,Thailand,pop_un,56558000
1991,Thailand,pop_un,57197500
1992,Thailand,pop_un,57837000
1993,Thailand,pop_un,58476500
1994,Thailand,pop_un,59116000
1995,Thailand,pop_un,59755500
1996,Thailand,pop_un,60395000
1997,Thailand,pop_un,61034500
1998,Thailand,pop_un,61674000
1999,Thailand,pop_un,62313500
2000,Thailand,pop_un,62953000
2001,Thailand,pop_un,63445600
2002,Thailand,pop_un,63938200
2003,Thailand,pop_un,64430800
2004,Thailand,pop_un,64923400
2005,Thailand,pop_un,65416000
2006,Thailand,pop_un,65771800
2007,Thailand,pop_un,66127600
2008,Thailand,pop_un,66483400
2009,Thailand,pop_un,66839200
2010,Thailand,pop_un,67195000
2011,Thailand,pop_un,67499000
2012,Thailand,pop_un,67803000
2013,Thailand,pop_un,68107000
2014,Thailand,pop_un,68411000
2015,Thailand,pop_un,68715000
2016,Thailand,pop_un,68932000
2017,Thailand,pop_un,69149000
2018,Thailand,pop_un,69366000
2019,Thailand,pop_un,69583000
2020,Thailand,pop_un,69800000
2021,Thailand,pop_un,69854600
2022,Thailand,pop_un,69909200
2023,Thailand,pop_un,69963800
2024,Thailand,pop_un,70018400
2025,Thailand,pop_un,70073000
2026,Thailand,pop_un,70127600
2027,Thailand,pop_un,70182200
2028,Thailand,pop_un,70236800
2029,Thailand,pop_un,70291400
2030,Thailand,pop_un,70346000
2031,Thailand,pop_un,70125700
2032,Thailand,pop_un,69905400
2033,Thailand,pop_un,69685100
2034,Thailand,pop_un,69464800
2035,Thailand,pop_un,69244500
2036,Thailand,pop_un,69024200
2037,Thailand,pop_un,68803900
2038,Thailand,pop_un,68583600
2039,Thailand,pop_un,68363300
2040,Thailand,pop_un,68143000
2041,Thailand,pop_un,67922700
2042,Thailand,pop_un,67702400
2043,Thailand,pop_un,67482100
2044,Thailand,pop_un,67261800
2045,Thailand,pop_un,67041500
2046,Thailand,pop_un,66821200
2047,Thailand,pop_un,66600900
2048,Thailand,pop_un,66380600
2049,Thailand,pop_un,66160300
2050,Thailand,pop_un,65940000
2051,Thailand,pop_un,65510000
2052,Thailand,pop_un,65080000
2053,Thailand,pop_un,64650000
2054,Thailand,pop_un,64220000
2055,Thailand,pop_un,63790000
2056,Thailand,pop_un,63360000
2057,Thailand,pop_un,62930000
2058,Thailand,pop_un,62500000
2059,Thailand,pop_un,62070000
2060,Thailand,pop_un,61640000
2061,Thailand,pop_un,61210000
2062,Thailand,pop_un,60780000
2063,Thailand,pop_un,60350000
2064,Thailand,pop_un,59920000
2065,Thailand,pop_un,59490000
2066,Thailand,pop_un,59060000
2067,Thailand,pop_un,58630000
2068,Thailand,pop_un,58200000
2069,Thailand,pop_un,57770000
2070,Thailand,pop_un,57340000
2071,Thailand,pop_un,56910000
2072,Thailand,pop_un,56480000
2073,Thailand,pop_un,56050000
2074,Thailand,pop_un,55620000
2075,Thailand,pop_un,55190000
2076,Thailand,pop_un,54823040
2077,Thailand,pop_un,54456080
2078,Thailand,pop_un,54089120
2079,Thailand,pop_un,53722160
2080,Thailand,pop_un,53355200
2081,Thailand,pop_un,52988240
2082,Thailand,pop_un,52621280
2083,Thailand,pop_un,52254320
2084,Thailand,pop_un,51887360
2085,Thailand,pop_un,51520400
2086,Thailand,pop_un,51153440
2087,Thailand,pop_un,50786480
2088,Thailand,pop_un,50419520
2089,Thailand,pop_un,50052560
2090,Thailand,pop_un,49685600
2091,Thailand,pop_un,49318640
2092,Thailand,pop_un,48951680
2093,Thailand,pop_un,48584720
2094,Thailand,pop_un,48217760
2095,Thailand,pop_un,47850800
2096,Thailand,pop_un,47483840
2097,Thailand,pop_un,47116880
2098,Thailand,pop_un,46749920
2099,Thailand,pop_un,46382960
2100,Thailand,pop_un,46016000
