"fuel_type","year","units","capacity"
"biogas",2018,"MW",346
"biogas",2019,"MW",366
"biogas",2020,"MW",366
"biogas",2021,"MW",382
"biogas",2022,"MW",401
"biogas",2023,"MW",412
"biogas",2024,"MW",423
"biogas",2025,"MW",443
"biogas",2026,"MW",491
"biogas",2027,"MW",539
"biogas",2028,"MW",553
"biogas",2029,"MW",580
"biogas",2030,"MW",626
"biogas",2031,"MW",717
"biogas",2032,"MW",781
"biogas",2033,"MW",896
"biogas",2034,"MW",928
"biogas",2035,"MW",928
"biogas",2036,"MW",928
"biogas",2037,"MW",928
"biomass",2018,"MW",1765
"biomass",2019,"MW",2008
"biomass",2020,"MW",2042
"biomass",2021,"MW",2350
"biomass",2022,"MW",2514
"biomass",2023,"MW",2618
"biomass",2024,"MW",2591
"biomass",2025,"MW",2530
"biomass",2026,"MW",2501
"biomass",2027,"MW",2549
"biomass",2028,"MW",2706
"biomass",2029,"MW",2914
"biomass",2030,"MW",3120
"biomass",2031,"MW",3447
"biomass",2032,"MW",3561
"biomass",2033,"MW",4261
"biomass",2034,"MW",4297
"biomass",2035,"MW",4515
"biomass",2036,"MW",4712
"biomass",2037,"MW",4690
"coal",2018,"MW",6110
"coal",2019,"MW",6110
"coal",2020,"MW",6110
"coal",2021,"MW",6110
"coal",2022,"MW",5570
"coal",2023,"MW",5570
"coal",2024,"MW",5390
"coal",2025,"MW",4250
"coal",2026,"MW",5120
"coal",2027,"MW",5390
"coal",2028,"MW",5390
"coal",2029,"MW",5390
"coal",2030,"MW",5390
"coal",2031,"MW",5390
"coal",2032,"MW",4043
"coal",2033,"MW",5043
"coal",2034,"MW",6043
"coal",2035,"MW",6043
"coal",2036,"MW",6043
"coal",2037,"MW",5383
"conservation",2018,"MW",0
"conservation",2019,"MW",0
"conservation",2020,"MW",0
"conservation",2021,"MW",0
"conservation",2022,"MW",0
"conservation",2023,"MW",0
"conservation",2024,"MW",0
"conservation",2025,"MW",0
"conservation",2026,"MW",0
"conservation",2027,"MW",0
"conservation",2028,"MW",0
"conservation",2029,"MW",0
"conservation",2030,"MW",0
"conservation",2031,"MW",0
"conservation",2032,"MW",354
"conservation",2033,"MW",556
"conservation",2034,"MW",1415
"conservation",2035,"MW",2440
"conservation",2036,"MW",3300
"conservation",2037,"MW",4000
"diesel",2018,"MW",60
"diesel",2019,"MW",60
"diesel",2020,"MW",60
"diesel",2021,"MW",60
"diesel",2022,"MW",60
"diesel",2023,"MW",60
"diesel",2024,"MW",60
"diesel",2025,"MW",60
"diesel",2026,"MW",60
"diesel",2027,"MW",60
"diesel",2028,"MW",60
"diesel",2029,"MW",60
"diesel",2030,"MW",60
"diesel",2031,"MW",60
"diesel",2032,"MW",60
"diesel",2033,"MW",60
"diesel",2034,"MW",60
"diesel",2035,"MW",60
"diesel",2036,"MW",60
"diesel",2037,"MW",60
"gas",2018,"MW",28718
"gas",2019,"MW",29111
"gas",2020,"MW",29331
"gas",2021,"MW",30649
"gas",2022,"MW",31247
"gas",2023,"MW",31450
"gas",2024,"MW",33190
"gas",2025,"MW",31690
"gas",2026,"MW",32390
"gas",2027,"MW",31873
"gas",2028,"MW",31284
"gas",2029,"MW",31984
"gas",2030,"MW",32684
"gas",2031,"MW",32684
"gas",2032,"MW",34050
"gas",2033,"MW",31916
"gas",2034,"MW",31206
"gas",2035,"MW",31096
"gas",2036,"MW",31126
"gas",2037,"MW",31572
"geothermal",2018,"MW",0.3
"geothermal",2019,"MW",0.3
"geothermal",2020,"MW",0.3
"geothermal",2021,"MW",0.3
"geothermal",2022,"MW",0.3
"geothermal",2023,"MW",0.3
"geothermal",2024,"MW",0.3
"geothermal",2025,"MW",0.3
"geothermal",2026,"MW",0.3
"geothermal",2027,"MW",0.3
"geothermal",2028,"MW",0.3
"geothermal",2029,"MW",0.3
"geothermal",2030,"MW",0.3
"geothermal",2031,"MW",0.3
"geothermal",2032,"MW",0.3
"geothermal",2033,"MW",0.3
"geothermal",2034,"MW",0.3
"geothermal",2035,"MW",0.3
"geothermal",2036,"MW",0.3
"geothermal",2037,"MW",0.3
"hydro",2018,"MW",6174
"hydro",2019,"MW",8018
"hydro",2020,"MW",8021
"hydro",2021,"MW",8035
"hydro",2022,"MW",8549
"hydro",2023,"MW",8567
"hydro",2024,"MW",8567
"hydro",2025,"MW",8567
"hydro",2026,"MW",9267
"hydro",2027,"MW",9267
"hydro",2028,"MW",9967
"hydro",2029,"MW",9841
"hydro",2030,"MW",9841
"hydro",2031,"MW",9841
"hydro",2032,"MW",10541
"hydro",2033,"MW",11241
"hydro",2034,"MW",11241
"hydro",2035,"MW",10993
"hydro",2036,"MW",10993
"hydro",2037,"MW",10993
"oil",2018,"MW",315
"oil",2019,"MW",315
"oil",2020,"MW",315
"oil",2021,"MW",315
"oil",2022,"MW",315
"oil",2023,"MW",315
"oil",2024,"MW",315
"oil",2025,"MW",315
"oil",2026,"MW",315
"oil",2027,"MW",315
"oil",2028,"MW",315
"oil",2029,"MW",315
"oil",2030,"MW",315
"oil",2031,"MW",315
"oil",2032,"MW",315
"oil",2033,"MW",315
"oil",2034,"MW",0
"oil",2035,"MW",0
"oil",2036,"MW",0
"oil",2037,"MW",0
"solar",2018,"MW",2573
"solar",2019,"MW",2827
"solar",2020,"MW",2972
"solar",2021,"MW",3086
"solar",2022,"MW",3183
"solar",2023,"MW",3307
"solar",2024,"MW",3509
"solar",2025,"MW",3579
"solar",2026,"MW",4041
"solar",2027,"MW",4278
"solar",2028,"MW",5340
"solar",2029,"MW",6608
"solar",2030,"MW",7926
"solar",2031,"MW",10216
"solar",2032,"MW",10896
"solar",2033,"MW",13324
"solar",2034,"MW",13575
"solar",2035,"MW",14596
"solar",2036,"MW",15289
"solar",2037,"MW",15464
"transmission line",2018,"MW",300
"transmission line",2019,"MW",300
"transmission line",2020,"MW",300
"transmission line",2021,"MW",300
"transmission line",2022,"MW",300
"transmission line",2023,"MW",300
"transmission line",2024,"MW",300
"transmission line",2025,"MW",300
"transmission line",2026,"MW",300
"transmission line",2027,"MW",300
"transmission line",2028,"MW",300
"transmission line",2029,"MW",300
"transmission line",2030,"MW",300
"transmission line",2031,"MW",300
"transmission line",2032,"MW",300
"transmission line",2033,"MW",300
"transmission line",2034,"MW",300
"transmission line",2035,"MW",300
"transmission line",2036,"MW",300
"transmission line",2037,"MW",300
"waste",2018,"MW",284
"waste",2019,"MW",325
"waste",2020,"MW",384
"waste",2021,"MW",384
"waste",2022,"MW",784
"waste",2023,"MW",784
"waste",2024,"MW",784
"waste",2025,"MW",784
"waste",2026,"MW",784
"waste",2027,"MW",784
"waste",2028,"MW",784
"waste",2029,"MW",784
"waste",2030,"MW",784
"waste",2031,"MW",784
"waste",2032,"MW",784
"waste",2033,"MW",784
"waste",2034,"MW",790
"waste",2035,"MW",805
"waste",2036,"MW",819
"waste",2037,"MW",828
"wind",2018,"MW",1353
"wind",2019,"MW",1488
"wind",2020,"MW",1488
"wind",2021,"MW",1504
"wind",2022,"MW",1504
"wind",2023,"MW",1504
"wind",2024,"MW",1504
"wind",2025,"MW",1504
"wind",2026,"MW",1504
"wind",2027,"MW",1504
"wind",2028,"MW",1504
"wind",2029,"MW",1504
"wind",2030,"MW",1504
"wind",2031,"MW",1504
"wind",2032,"MW",1504
"wind",2033,"MW",1504
"wind",2034,"MW",1704
"wind",2035,"MW",2204
"wind",2036,"MW",2861
"wind",2037,"MW",2989
